,AAPL_x,AAPL_y
186,2014-09-29,97.84195885
187,2014-09-30,99.97950571
188,2014-10-01,99.75834241
189,2014-10-02,98.45517117
190,2014-10-03,98.62148163
191,2014-10-06,99.12728368
192,2014-10-07,98.61442228
193,2014-10-08,97.94679762
194,2014-10-09,100.7057276
195,2014-10-10,99.86032959
196,2014-10-13,100.4975123
197,2014-10-14,99.56654785
198,2014-10-15,97.16647324
199,2014-10-16,94.76582693
200,2014-10-17,96.70139244
201,2014-10-20,97.51183641
202,2014-10-21,102.1754914
203,2014-10-22,101.991238
204,2014-10-23,103.2261528
205,2014-10-24,104.3103307
206,2014-10-27,103.982152
207,2014-10-28,104.5310474
208,2014-10-29,105.7756568
209,2014-10-30,106.0801645
210,2014-10-31,107.1199176
211,2014-11-03,107.3297075
212,2014-11-04,108.4637716
213,2014-11-05,108.1980158
214,2014-11-06,108.1703956
215,2014-11-07,108.3210256
216,2014-11-10,108.5892493
217,2014-11-11,108.2739198
218,2014-11-12,108.947396
219,2014-11-13,111.363978
220,2014-11-14,112.7040594
221,2014-11-17,113.8188946
222,2014-11-18,113.4959626
223,2014-11-19,114.9869783
224,2014-11-20,114.4555369
225,2014-11-21,117.0458925
226,2014-11-24,116.3870522
227,2014-11-25,118.60425
228,2014-11-26,117.4741866
229,2014-11-28,118.7986564
230,2014-12-01,118.3453741
231,2014-12-02,113.054436
232,2014-12-03,115.2907142
233,2014-12-04,115.318909
234,2014-12-05,115.5361261
235,2014-12-08,113.6533452
236,2014-12-09,109.7554968
237,2014-12-10,113.9603314
238,2014-12-11,111.8174772
239,2014-12-12,110.0271393
